fonte,id,nome,sku,preco_eur,stock,peso,envio_eur,armazem,imagem,link,score_minerado,tags
dropipro,2731,Bolígrafo de caligrafía con 4 recambios para cuaderno mágico,,0.39,23958,0.25,,Dropi PRO ES,https://dropipro.com/storage/products/2731/WechatIMG2686_1777999894.jpg,https://dropipro.com/app/products,20.0,alto_stock
dropipro,2720,Linterna led con zoom 3modo FA-556,,2.99,2000,0.24,,Dropi PRO ES,https://dropipro.com/storage/products/2720/LINTERNA_1777985004.JPG,https://dropipro.com/app/products,20.0,"winner_candidate,alto_stock,preco_ideal_teste"
dropipro,2680,Parches antihongos para uñas (16 unidades),,1.69,2672,0.22,,Dropi PRO ES,https://dropipro.com/storage/products/2680/parche_1776768242.jpg,https://dropipro.com/app/products,20.0,alto_stock
dropipro,2679,Parches antihongos para uñas (60 unidades),,1.99,2554,0.22,,Dropi PRO ES,https://dropipro.com/storage/products/2679/hongo_1776352192.jpg,https://dropipro.com/app/products,20.0,alto_stock
dropipro,2678,Funda de almohada satén gris para modelo ( Almohada ergonómica antiestrés ),,1.59,1497,0.26,,Dropi PRO ES,https://dropipro.com/storage/products/2678/FUNDAGRIS_1764872974_1775834363.jpg,https://dropipro.com/app/products,20.0,alto_stock
dropipro,2677,Funda de almohada satén gris para modelo ( Almohada de punto ergonómica 3D ),,1.59,1485,0.26,,Dropi PRO ES,https://dropipro.com/storage/products/2677/FUNDAGRIS_1764872974_1775834363.jpg,https://dropipro.com/app/products,20.0,alto_stock
dropipro,2645,Gafas fotocromáticas con protección UV para mujer,,2.29,647,0.23,,Dropi PRO ES,https://dropipro.com/storage/products/2645/WechatIMG2588_1773744636.jpg,https://dropipro.com/app/products,20.0,"winner_candidate,preco_ideal_teste"
dropipro,2642,Gel exfoliante purificante 50 g para rostro y cuerpo,,1.99,1149,0.27,,Dropi PRO ES,https://dropipro.com/storage/products/2642/613SfrNjUNL._AC_SX569__1775568151.jpg,https://dropipro.com/app/products,20.0,alto_stock
dropipro,2640,Spray de nutrición con queratina para uñas,,1.89,1151,0.29,,Dropi PRO ES,https://dropipro.com/storage/products/2640/613536292_1328564002624683_3167888408250939837_n_1773675731.jpg,https://dropipro.com/app/products,20.0,alto_stock
dropipro,2637,Leggins Mujer Push Up negro talla L/XL,,3.99,1800,0.4,,Dropi PRO ES,https://dropipro.com/storage/products/2637/NEGRO_1773393177.jpg,https://dropipro.com/app/products,20.0,"winner_candidate,alto_stock,preco_ideal_teste"
